trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
268020,510,3,"Bel Air Center",,0,85198,shp-510-61,1,1
2818010,510,1,"Bel Air Center",,0,85128,shp-510-61,1,1
218070,510,2,"Bel Air Center",,0,85188,shp-510-61,1,1
3261020,510,3,"Bel Air Center",,0,85128,shp-510-61,1,1
3075020,510,3,"Bel Air Center",,0,85138,shp-510-61,1,1
2636070,510,2,"Bel Air Center",,0,85188,shp-510-61,1,1
2170070,510,2,"Bel Air Center",,0,85148,shp-510-51,1,1
2255070,510,2,"Bel Air Center",,0,85208,shp-510-61,1,1
219010,510,1,"Bel Air Center",,0,85108,shp-510-61,1,1
2727070,510,2,"Bel Air Center",,0,85148,shp-510-51,1,1
2597070,510,2,"Bel Air Center",,0,85208,shp-510-61,1,1
651010,510,1,"Bel Air Center",,0,85138,shp-510-51,1,1
502020,510,3,"Bel Air Center",,0,85158,shp-510-61,1,1
3348020,510,3,"Bel Air Center",,0,85168,shp-510-51,1,1
2988020,510,3,"Bel Air Center",,0,85108,shp-510-61,1,1
3060020,510,3,"Bel Air Center",,0,85118,shp-510-51,1,1
707020,510,3,"Bel Air Center",,0,85148,shp-510-51,1,1
404070,510,2,"Bel Air Center",,0,85208,shp-510-61,1,1
498070,510,2,"Bel Air Center",,0,85138,shp-510-61,1,1
450070,510,2,"Bel Air Center",,0,85128,shp-510-61,1,1
618020,510,3,"Bel Air Center",,0,85108,shp-510-51,1,1
615020,510,3,"Bel Air Center",,0,85128,shp-510-61,1,1
81020,510,3,"Bel Air Center",,0,85198,shp-510-61,1,1
765010,510,1,"Bel Air Center",,0,85118,shp-510-51,1,1
697070,510,2,"Bel Air Center",,0,85198,shp-510-51,1,1
1484020,510,3,"Bel Air Center",,0,85118,shp-510-51,1,1
2662010,510,1,"Bel Air Center",,0,85128,shp-510-61,1,1
1253020,510,3,"Bel Air Center",,0,85188,shp-510-61,1,1
1450020,510,3,"Bel Air Center",,0,85208,shp-510-51,1,1
1376020,510,3,"Bel Air Center",,0,85198,shp-510-61,1,1
2035010,510,1,"Bel Air Center",,0,85138,shp-510-51,1,1
1791070,510,2,"Bel Air Center",,0,85188,shp-510-61,1,1
1635010,510,1,"Bel Air Center",,0,85118,shp-510-51,1,1
1061070,510,2,"Bel Air Center",,0,85148,shp-510-51,1,1
1010,510,1,"Bel Air Center",,0,85138,shp-510-51,1,1
1053020,510,3,"Bel Air Center",,0,85188,shp-510-61,1,1
1237070,510,2,"Bel Air Center",,0,85198,shp-510-51,1,1
1243070,510,2,"Bel Air Center",,0,85158,shp-510-51,1,1
141010,510,1,"Bel Air Center",,0,85138,shp-510-51,1,1
1013020,510,3,"Bel Air Center",,0,85168,shp-510-51,1,1
184070,510,2,"Bel Air Center",,0,85128,shp-510-61,1,1
1455070,510,2,"Bel Air Center",,0,85178,shp-510-51,1,1
1552020,510,3,"Bel Air Center",,0,85208,shp-510-51,1,1
